# gam   Re(Lprime(rho))   Im(Lprime(rho))
6.02094890469759665490251152161 1.29649957556581790751384266426 0.182765095861237329021870323193
10.2437703041665545521377574791 1.78846703157888484607463407596 -0.296775909448326970825183471643
12.9880980123124225074531097896 2.05969419527415392719847755003 0.493942476319914219713086413678
16.3426071045872221949768614835 1.97041304734406799108701170129 -0.754893740791584949293107657886
18.2919931961235348385260042776 2.06160377692465691471225700968 0.963004243805539799383212780855
21.4506113439834604972009483863 2.24059406693881815565976125201 -1.02049296049087779320404609536
23.2783765204595315318195588863 2.28136713751746524006586495346 0.674254520906224982421263102553
25.7287564250887275672650886743 3.12831688757237986089687886169 0.199451752965727113172340911836
28.3596343430253277856516079418 1.88796004461742134102674507490 -1.12589841339099858729171096779
29.6563840145931527218099069682 1.78505869504894438218970533520 1.54454385238295016649398970373
32.5921865271171551308151940490 2.56052744001480887764028471080 -1.49427807425869114072130330511
34.1999575092131469130447954700 2.52349956712479027719940033610 0.397093582758767186467596944393
36.1428804583031378305658144701 3.21601718941158168536347331630 0.917446330315223581483557294287
38.5119231417186912937765046881 3.11858247100746418414524290766 -1.07871119990195006650754223060
40.3226740666905441803443943623 2.58262055858130496501863242692 -0.282631353348037217386194294777
41.8070846200045623371575218972 2.66165602956402891261822952313 1.86190652688655241184327262362
44.6178910586623033934820457251 1.47900675419759251941933641018 -1.88689599879050590374741284981
45.5995843967915667459377022934 1.84190951945352282075203835816 1.22688253120050433878635090723
47.7415622809391412507813473430 3.82814144173608496987774021047 0.372575917191433395233396347690
49.7231293237825860665695708810 3.69944681122121768108702024307 -0.613749520708360088476487771424
51.6860934528705284395338111103 2.26028546363005781522960164203 -1.04436805771516969377366595520
52.7688207678047292650350765788 1.93542124829928884509381812998 2.04052914437099742574456829484
55.2675435846992248467182596569 3.55258162948542055239463833232 -1.78836771261265148070411554854
56.9343740552022968868017119611 2.47460526724948547903206423578 -0.778148938030813416870693790622
58.1167071106739179772623675470 2.31086189604699110331614579722 1.97969205409835043425970638161
60.4217139490078346730186182923 3.88305559707402585898930080824 -1.34797821679089116599443059610
62.0086322857677694519306155029 3.38886386425923813429132034834 -0.335900869602320006662877201667
63.7146411187854331235182979568 2.96958937275152803160647967290 -0.310565614391272093064699271105
64.9761705730959993486059247357 2.86956014424734387557042249554 2.39537880316101626902062605130
67.6369208635460683980549911506 0.940307136563014872066119117071 -2.05645174324429747840510338308
68.3658845038344229612337381444 1.63621696836221921084334600199 1.18378765563453427670608587084
70.1858799088021120613712821242 4.03796142849262445960416790200 1.34811936480049826785371879710
72.1554849743818812146915425998 4.10134598005164536238741599908 -1.23142336363462862885184882566
73.7676355214858933361546261625 3.19048472212397377909074486981 -0.794536633657198156971597352188
75.1431216474331114057980004258 3.18479734010044444833649306790 0.792218162406343688122182994483
76.6963032034301990645666599681 4.16628437975536262396440623430 1.63381304073048861147194863675
78.8099983143209130036917832028 3.20218995270950636673919085218 -2.23054229326944274660246604049
80.2101312383666389151480326685 2.44473058509901035578085017053 -0.531522543399602052174027261971
81.2139516268831511577348333514 1.87727473955065097733695937244 2.62702367933425199241231902457
83.6666560144705716512833103608 2.70449005595904823312817747410 -2.59621503314793324240614190305
84.7317403637816286082175776045 3.12101920567384517673219218206 0.817750392851803356670303718803
86.5776601683902644102105487299 3.05194498334666166760133029007 -0.920082614242766413102299706805
87.6297181195878996890394323873 2.69420729536979336570305322116 2.44287474831188848501823355729
89.8011316166958113259693882946 4.07237244305713760481810117527 -2.23237729735511017073527702851
91.3497038146975734739310139736 2.24268749711392296834212376541 -1.22302111634962694928894442178
92.2374999104542580460041757781 1.90423353729988958645295497381 2.10986519428695777324527026395
