angle_deg,sum_mu,count,avg_mu
199.0000,-311,872665,-0.0004
200.0000,391,872663,0.0004
201.0000,-311,872666,-0.0004
202.0000,287,872661,0.0003
203.0000,4,872665,0.0000
204.0000,-424,872665,-0.0005
205.0000,225,872661,0.0003
206.0000,-692,872668,-0.0008
207.0000,899,872663,0.0010
208.0000,640,872664,0.0007
209.0000,-193,872664,-0.0002
210.0000,-1404,872667,-0.0016
211.0000,-560,872653,-0.0006
212.0000,732,872674,0.0008
213.0000,831,872669,0.0010
214.0000,283,872666,0.0003
215.0000,-465,872664,-0.0005
216.0000,-569,872659,-0.0007
217.0000,436,872667,0.0005
218.0000,249,872667,0.0003
219.0000,208,872666,0.0002
220.0000,-1220,872662,-0.0014
221.0000,-194,872666,-0.0002
222.0000,-79,872647,-0.0001
223.0000,12,872679,0.0000
224.0000,753,869136,0.0009
225.0000,759,876207,0.0009
226.0000,12,872679,0.0000
227.0000,-79,872647,-0.0001
228.0000,-194,872666,-0.0002
229.0000,-1220,872662,-0.0014
230.0000,208,872666,0.0002
231.0000,249,872667,0.0003
232.0000,436,872667,0.0005
233.0000,-569,872659,-0.0007
234.0000,-465,872664,-0.0005
235.0000,283,872666,0.0003
236.0000,831,872669,0.0010
237.0000,732,872674,0.0008
238.0000,-560,872653,-0.0006
239.0000,-1404,872667,-0.0016
240.0000,-193,872664,-0.0002
241.0000,640,872664,0.0007
242.0000,899,872663,0.0010
243.0000,-692,872668,-0.0008
244.0000,225,872661,0.0003
245.0000,-424,872665,-0.0005
246.0000,4,872665,0.0000
247.0000,287,872661,0.0003
248.0000,-311,872666,-0.0004
249.0000,391,872663,0.0004
250.0000,-311,872665,-0.0004
251.0000,-9,872662,-0.0000
252.0000,-982,872665,-0.0011
253.0000,-599,872664,-0.0007
254.0000,709,872666,0.0008
255.0000,364,872668,0.0004
256.0000,308,872653,0.0004
257.0000,-381,872674,-0.0004
258.0000,-987,872666,-0.0011
259.0000,-456,872666,-0.0005
260.0000,638,872664,0.0007
261.0000,-56,872654,-0.0001
262.0000,743,872678,0.0009
263.0000,312,872663,0.0004
264.0000,-205,872665,-0.0002
265.0000,599,872664,0.0007
266.0000,682,872663,0.0008
267.0000,17,872654,0.0000
268.0000,497,872670,0.0006
269.0000,-871,867640,-0.0010
270.0000,-875,877640,-0.0010
271.0000,497,872670,0.0006
272.0000,17,872654,0.0000
273.0000,682,872663,0.0008
274.0000,599,872664,0.0007
275.0000,-205,872665,-0.0002
276.0000,312,872663,0.0004
277.0000,743,872678,0.0009
278.0000,-56,872654,-0.0001
279.0000,638,872664,0.0007
280.0000,-456,872666,-0.0005
281.0000,-987,872666,-0.0011
282.0000,-381,872674,-0.0004
283.0000,308,872653,0.0004
284.0000,364,872668,0.0004
285.0000,709,872666,0.0008
286.0000,-599,872664,-0.0007
287.0000,-982,872665,-0.0011
288.0000,-9,872662,-0.0000
289.0000,-311,872665,-0.0004
290.0000,391,872663,0.0004
291.0000,-311,872666,-0.0004
292.0000,287,872661,0.0003
293.0000,4,872665,0.0000
294.0000,-424,872665,-0.0005
295.0000,225,872661,0.0003
296.0000,-692,872668,-0.0008
297.0000,899,872663,0.0010
298.0000,640,872664,0.0007
299.0000,-193,872664,-0.0002
300.0000,-1404,872667,-0.0016
301.0000,-560,872653,-0.0006
302.0000,732,872674,0.0008
303.0000,831,872669,0.0010
304.0000,283,872666,0.0003
305.0000,-465,872664,-0.0005
306.0000,-569,872659,-0.0007
307.0000,436,872667,0.0005
308.0000,249,872667,0.0003
309.0000,208,872666,0.0002
310.0000,-1220,872662,-0.0014
311.0000,-194,872666,-0.0002
312.0000,-79,872647,-0.0001
313.0000,12,872679,0.0000
314.0000,753,869136,0.0009
315.0000,759,876207,0.0009
316.0000,12,872679,0.0000
317.0000,-79,872647,-0.0001
318.0000,-194,872666,-0.0002
319.0000,-1220,872662,-0.0014
320.0000,208,872666,0.0002
321.0000,249,872667,0.0003
322.0000,436,872667,0.0005
323.0000,-569,872659,-0.0007
324.0000,-465,872664,-0.0005
325.0000,283,872666,0.0003
326.0000,831,872669,0.0010
327.0000,732,872674,0.0008
328.0000,-560,872653,-0.0006
329.0000,-1404,872667,-0.0016
330.0000,-193,872664,-0.0002
331.0000,640,872664,0.0007
332.0000,899,872663,0.0010
333.0000,-692,872668,-0.0008
334.0000,225,872661,0.0003
335.0000,-424,872665,-0.0005
336.0000,4,872665,0.0000
337.0000,287,872661,0.0003
338.0000,-311,872666,-0.0004
339.0000,391,872663,0.0004
340.0000,-311,872665,-0.0004
341.0000,-9,872662,-0.0000
342.0000,-982,872665,-0.0011
343.0000,-599,872664,-0.0007
344.0000,709,872666,0.0008
345.0000,364,872668,0.0004
346.0000,308,872653,0.0004
347.0000,-381,872674,-0.0004
348.0000,-987,872666,-0.0011
349.0000,-456,872666,-0.0005
350.0000,638,872664,0.0007
351.0000,-56,872654,-0.0001
352.0000,743,872678,0.0009
353.0000,312,872663,0.0004
354.0000,-205,872665,-0.0002
355.0000,599,872664,0.0007
356.0000,682,872663,0.0008
357.0000,17,872654,0.0000
358.0000,497,872670,0.0006
359.0000,-871,867640,-0.0010
