# gam   Re(zetaprime(rho))   Im(zetaprime(rho))
14.1347251417346937904572519836 0.783296511867030928649657209239 0.124699829748171089409928491509
21.0220396387715549926284795939 1.10929556346267156565222589413 -0.248729788516497458220829957962
25.0108575801456887632137909926 1.29579560500883517344426576846 0.450036709437867143568575171093
30.4248761258595132103118975306 1.12013084524449343703787165229 -0.667509469349492282551883386086
32.9350615877391896906623689641 1.16057006749356257037876786853 0.750554150342263821613807178838
37.5861781588256712572177634807 1.85346624998295542544059666059 -0.561004420495760690984962341684
40.9187190121474951873981269146 1.45951733467199078523479190299 -0.302868935446092561091801174046
43.3270732809149995194961221654 1.46408757414579939095750188892 1.10372579262141035758266251403
48.0051508811671597279424727494 1.03392979847194648887639382416 -1.17886041598781917670538517198
49.7738324776723021819167846786 1.26089364678424344577294730913 0.650781025236231337515553023095
52.9703214777144606441472966089 2.34497063266744507318389774805 0.624018192393267539292608201353
56.4462476970633948043677594767 2.21680853789142933319987190753 -0.832391575947241292597783500603
59.3470440026023530796536486750 1.26015151261487028671220404962 -0.590881578746292114650302609453
60.8317785246098098442599018245 0.855936503982157910841812682868 1.41547835276601339193976963898
65.1125440480816066608750542532 1.65158207573055864068764312283 -1.58310121727212044535081902909
67.0798105294941737144788288965 1.78007607549082739220312831918 0.111737234202597350274192420654
69.5464017111739792529268575266 2.11201794220059005784356033789 0.565098289987510214564089685543
72.0671576744819075825221079698 2.78442039783222080489430054676 1.01757791078938291674031724392
75.7046906990839331683269167620 0.975756974226868577472670256396 -1.48819281939130251434428252220
77.1448400688748053726826648563 1.36812118170056652974308169570 0.502667718581876953027724648872
79.3373750202493679227635928771 1.96736764082021826953247373683 1.75724449650986005865483871210
82.9103808540860301831648374948 2.01039191929462722599273140797 -1.69079538293161935507851004269
84.7354929805170501057353112068 2.15519310618320970650237321715 0.168613187806930950926621789557
87.4252746131252294065316678509 1.71982088312273272953989159843 -0.532740946434640348435771829992
88.8091112076344654236823480795 1.15019136183959193290011592720 1.84771246779888508246895784493
