# gam   Re(zeta(rho))   Im(zeta(rho))
6.02094890469759665490251152161 0.840579799021071271510158238388 0.342049346224814094078862497504
10.2437703041665545521377574791 1.53877213911462792660863586448 -0.205219333854569659756696197768
12.9880980123124225074531097896 0.449741316368010851619121204261 -0.659289856123123339587132771497
16.3426071045872221949768614835 1.29932421651369294691050893894 1.21479796125985910342930818758
18.2919931961235348385260042776 2.23098954112830773013619493222 -0.535875788651415471490008386626
21.4506113439834604972009483863 0.217781629379517198824731060286 0.416775078243129271502298804527
23.2783765204595315318195588863 1.44272604534767839188348075949 -0.102102238370981178780241155667
25.7287564250887275672650886743 0.172054198372445722036409350705 1.02271507909751564120807676743
28.3596343430253277856516079418 2.29263737438218342624898221736 -1.29837712085971458145292100608
29.6563840145931527218099069682 0.0706189251746845281946713470149 -1.10578303145592487466233697548
32.5921865271171551308151940490 0.321087123891118053061039502979 -0.278013546550828327047529310595
34.1999575092131469130447954700 0.923976020727024375348072012425 1.75052851448360064372039534977
36.1428804583031378305658144701 2.09126119946045367272548469352 -1.39389768455341287018093838356
38.5119231417186912937765046881 1.31577927618679505150941434475 0.624716949680809307909240177655
40.3226740666905441803443943623 0.307424718968437896009507671549 -0.838002675187224716248157399847
41.8070846200045623371575218972 0.874880846169738627857651359862 0.511598339001014219284693150718
44.6178910586623033934820457251 1.52788591345699372351432438678 2.18720764944073249389604167266
45.5995843967915667459377022934 3.66336930721690667765717527638 -0.0237982625496580578886165626414
47.7415622809391412507813473430 -0.251980848889847374599561867959 -0.381956339303560192092095638178
49.7231293237825860665695708810 0.0356844006805769908392157552212 -0.0610545487424644888265908922726
51.6860934528705284395338111103 2.02841443379371728997913991436 0.102160211734077308764198407656
52.7688207678047292650350765788 0.217559435774313958677230158909 -0.423383168691080353431692891331
55.2675435846992248467182596569 2.01857095981483044555965112672 -1.51024242308998574484381130404
56.9343740552022968868017119611 0.808742361400141690162849861298 0.646975436023139765337322126448
58.1167071106739179772623675470 1.35835991543351353079265725614 -0.999386775545284658285904226085
60.4217139490078346730186182923 0.492104851438770378644540410635 -0.0390019009809670395892088074166
62.0086322857677694519306155029 0.847725650102620266432113681884 2.60524199448225661311595484469
63.7146411187854331235182979568 2.69885772960379937347327116808 -2.31166100911646322722685962943
64.9761705730959993486059247357 -0.186016087448893723347897951243 -0.269080108789789479225298414472
67.6369208635460683980549911506 0.539297744357327369317259157185 0.791541963905777704967794595669
68.3658845038344229612337381444 1.54254094619136800016786357691 0.162019210798266055078475019627
70.1858799088021120613712821242 0.650570506410590285044887190896 1.16658415954127531148340170366
72.1554849743818812146915425998 -0.0637776594988809967973710022979 0.257712387781356996303727417126
73.7676355214858933361546261625 3.59348665515921445202776859599 -0.591426555594478210316236039380
75.1431216474331114057980004258 -0.363435008313630563026150950276 -1.20629635624653917480159498572
76.6963032034301990645666599681 0.408427076945239526583470572917 -0.314974723005128830953492755982
78.8099983143209130036917832028 1.05608922277553996256677548678 -0.185597435222710442781348210478
80.2101312383666389151480326685 0.956735932503262434289074364509 2.39586334028427551305618368939
